料金按分集計一覧表[グループ別集計]
按分方式,空調時間按分
集計期間,2025/01/01～2025/01/31
集計日,2025/02/01 09:54

グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
1300 ｼﾞｬｲﾛJ,211.9,2,85.5,0
1300 ｼﾞｬｲﾛJ,208.9,2,84.3,0
1300 ｼﾞｬｲﾛJ,153.2,1,61.8,0
1300 ｼﾞｬｲﾛJ,134.8,1,54.4,0
1320 ｸﾞﾗﾆﾌ,218.5,2,88.1,0
1320 ｸﾞﾗﾆﾌ,175.4,1,70.7,0
1325 Tissot,153.2,1,61.8,0
2300 ﾁｬｵﾊﾟﾆｯｸ,107.8,1,43.5,0
2300 ﾁｬｵﾊﾟﾆｯｸ,193.9,1,78.2,0
2300 ﾁｬｵﾊﾟﾆｯｸ,196.4,1,79.2,0
2300 ﾁｬｵﾊﾟﾆｯｸ,126.4,1,50.9,0
2310 ｼｪﾄﾜ,94.5,0,38.1,0
2310 ｼｪﾄﾜ,86.3,0,34.8,0
2310 ｼｪﾄﾜ,186.6,1,75.3,0
2310 ｼｪﾄﾜ,146.4,1,59.0,0
2310 ｼｪﾄﾜ,100.6,1,40.6,0
1400 ﾀｻｷ,167.2,1,67.4,0
1405 ｺｽﾒﾃｨｯｸ＆,159.6,1,64.4,0
1405 ｺｽﾒﾃｨｯｸ＆,129.0,1,52.1,0
1410 ｽｺｯﾁｸﾞﾚｲﾝ,156.1,1,63.0,0
1410 ｽｺｯﾁｸﾞﾚｲﾝ,14.7,0,5.9,0
1415 ﾀﾞｰﾊﾞﾝ,172.1,1,69.4,0
1415 ﾀﾞｰﾊﾞﾝ,170.2,1,68.7,0
1420 ｱﾆｴｽﾍﾞｰ,257.0,2,103.7,1
1420 ｱﾆｴｽﾍﾞｰ,232.4,2,93.8,0
2400 ﾍﾞﾘﾃ,185.0,1,74.6,0
2405 ﾋﾟｰﾁ ｼﾞｮﾝ,287.0,2,115.8,1
2405 ﾋﾟｰﾁ ｼﾞｮﾝ,211.7,2,85.4,0
2410 ｲﾍﾞﾝﾄｽﾍﾟｰｽ,95.5,0,38.5,0
2410 ｲﾍﾞﾝﾄｽﾍﾟｰｽ,85.1,0,34.4,0
2415 ﾚｽﾎﾟｰﾄｻｯｸ,231.8,2,93.5,0
2415 ﾚｽﾎﾟｰﾄｻｯｸ,123.8,1,49.9,0
2420 ｸﾗｰｸｽ,186.7,1,75.3,0
2420 ｸﾗｰｸｽ,210.8,2,85.1,0
1500 ｶｼｵ ｳｫｯﾁ,105.9,1,42.7,0
1500 ｶｼｵ ｳｫｯﾁ,13.0,0,5.2,0
1510 ｺｰﾁ,82.0,0,33.1,0
1510 ｺｰﾁ,13.3,0,5.4,0
1515 ｺｰﾁ,105.3,1,42.5,0
1515 ｺｰﾁ,73.7,0,29.7,0
1525 ｺｰﾁ,166.2,1,67.1,0
1525 ｺｰﾁ,100.0,1,40.3,0
1525 ｺｰﾁ,100.2,1,40.5,0
1525 ｺｰﾁ,84.3,0,33.9,0
1530 ﾊﾞﾘｰ,191.8,1,77.3,0
1530 ﾊﾞﾘｰ,131.4,1,53.0,0
2500 ｼﾞｰﾅｼｽ,98.5,0,39.7,0
2500 ｼﾞｰﾅｼｽ,138.2,1,55.7,0
2505 ｻｰﾓｽ,159.6,1,64.3,0
2505 ｻｰﾓｽ,86.2,0,34.8,0
2510 ｵﾆﾂｶ ﾀｲｶﾞｰ,150.0,1,60.5,0
2510 ｵﾆﾂｶ ﾀｲｶﾞｰ,9.7,0,4.0,0
2520ﾃｨﾝﾊﾞｰﾗﾝﾄﾞ,187.7,1,75.8,0
2520ﾃｨﾝﾊﾞｰﾗﾝﾄﾞ,116.8,1,47.0,0
2520ﾃｨﾝﾊﾞｰﾗﾝﾄﾞ,116.3,1,46.9,0
2520ﾃｨﾝﾊﾞｰﾗﾝﾄﾞ,145.3,1,58.6,0
2525 ｱﾙﾌﾚｯﾄﾞ ﾊﾞﾆｽﾀｰ,253.4,2,102.2,1
2525 ｱﾙﾌﾚｯﾄﾞ ﾊﾞﾆｽﾀｰ,162.5,1,65.6,0
1600 ｱﾃﾞｨﾀﾞｽｺﾞﾙﾌ,101.3,1,40.9,0
1600 ｱﾃﾞｨﾀﾞｽｺﾞﾙﾌ,510.3,5,205.8,2
1600 ｱﾃﾞｨﾀﾞｽｺﾞﾙﾌ,508.3,5,204.9,2
1600 ｱﾃﾞｨﾀﾞｽｺﾞﾙﾌ,100.7,1,40.6,0
1600 ｱﾃﾞｨﾀﾞｽｺﾞﾙﾌ,239.8,2,96.7,0
1600 ｱﾃﾞｨﾀﾞｽｺﾞﾙﾌ,69.7,0,28.1,0
1605 ﾊﾞﾅﾅﾘﾊﾟﾌﾞﾘｯｸ,367.9,3,148.5,1
1605 ﾊﾞﾅﾅﾘﾊﾟﾌﾞﾘｯｸ,127.5,1,51.4,0
1605 ﾊﾞﾅﾅﾘﾊﾟﾌﾞﾘｯｸ,127.3,1,51.3,0
1605 ﾊﾞﾅﾅﾘﾊﾟﾞﾘｯｸ,98.2,0,39.6,0
1700 ﾌｰﾄﾞ客席,601.8,6,242.8,2
1700 ﾌｰﾄﾞ客席,729.4,7,294.1,2
1700 ﾌｰﾄﾞ客席,205.0,2,82.7,0
1700 ﾌｰﾄﾞ客席,351.8,3,141.9,1
1700 ﾌｰﾄﾞ客席,65.9,0,26.5,0
1620 ｽﾜﾛﾌｽｷｰ,258.9,2,104.5,1
1625 ｱﾝﾃﾌﾟﾘﾏ,283.9,2,114.5,1
1630 ｻﾝｸｾﾞｰﾙ,69.7,0,28.1,0
1630 ｻﾝｸｾﾞｰﾙ,68.4,0,27.6,0
